year,year,Black-bellied Whistling-Duck,Greater White-fronted Goose,Snow Goose,Ross's Goose,Canada Goose,Mute Swan,Wood Duck,Gadwall,American Wigeon,Mallard,Mottled Duck,Blue-winged Teal,Cinnamon Teal,Northern Shoveler,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Greater Scaup,Lesser Scaup,Bufflehead,Common Goldeneye,Hooded Merganser,Common Merganser,Red-breasted Merganser,Ruddy Duck,Scaled Quail,Gambel's Quail,Northern Bobwhite,Wild Turkey,Common Loon,Least Grebe,Pied-billed Grebe,Horned Grebe,Red-necked Grebe,Eared Grebe,Neotropic Cormorant,Double-crested Cormorant,Anhinga,American White Pelican,Brown Pelican,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Tricolored Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,White Ibis,White-faced Ibis,Roseate Spoonbill,Black Vulture,Turkey Vulture,Osprey,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Bald Eagle,Red-shouldered Hawk,Harris's Hawk,Red-tailed Hawk,Ferruginous Hawk,Virginia Rail,Sora,Common Gallinule,American Coot,Sandhill Crane,Black-necked Stilt,American Avocet,Black-bellied Plover,Semipalmated Plover,Killdeer,Greater/Lesser Yellowlegs,Spotted Sandpiper,Solitary Sandpiper,Willet,Ruddy Turnstone,Sanderling,Western Sandpiper,Least Sandpiper,Dunlin,Short-billed/Long-billed Dowitcher,Wilson's Snipe,Laughing Gull,Bonaparte's Gull,Franklin's Gull,Ring-billed Gull,California Gull,Herring Gull,Lesser Black-backed Gull,Caspian Tern,Royal Tern,Forster's Tern,Black Skimmer,Rock Pigeon,Eurasian Collared-Dove,Inca Dove,Common Ground-Dove,White-winged Dove,Mourning Dove,Greater Roadrunner,Barn Owl,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Long-eared Owl,Common Pauraque,White-throated Swift,Anna's Hummingbird,Broad-tailed Hummingbird,Rufous Hummingbird,Ringed Kingfisher,Belted Kingfisher,Green Kingfisher,Golden-fronted Woodpecker,Acorn Woodpecker,Red-bellied Woodpecker,Yellow-bellied Sapsucker,Ladder-backed Woodpecker,Downy Woodpecker,Northern Flicker,Pileated Woodpecker,Crested Caracara,American Kestrel,Merlin,Peregrine Falcon,Prairie Falcon,Monk Parakeet,Eastern Phoebe,Black Phoebe,Say's Phoebe,Vermilion Flycatcher,yellow-bellied kingbird sp.,Scissor-tailed Flycatcher,Loggerhead Shrike,White-eyed Vireo,Blue-headed Vireo,Blue Jay,Western Scrub-Jay,American Crow,Common Raven,Tree Swallow,Cliff/Cave Swallow,Carolina Chickadee,Tufted Titmouse,Black-crested Titmouse,Verdin,Red-breasted Nuthatch,White-breasted Nuthatch,Brown Creeper,Rock Wren,Canyon Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Carolina Wren,Bewick's Wren,Cactus Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Western Bluebird,Hermit Thrush,American Robin,Gray Catbird,Curve-billed Thrasher,Brown Thrasher,Long-billed Thrasher,Crissal Thrasher,Northern Mockingbird,European Starling,American Pipit,Sprague's Pipit,Cedar Waxwing,Phainopepla,Black-and-white Warbler,Orange-crowned Warbler,Common Yellowthroat,Yellow Warbler,Pine Warbler,Yellow-rumped Warbler,Grasshopper Sparrow,Le Conte's Sparrow,Seaside Sparrow,Chipping Sparrow,Black-chinned Sparrow,Brewer's Sparrow,Black-throated Sparrow,Field Sparrow,Lark Sparrow,Lark Bunting,Fox Sparrow,Dark-eyed Junco,White-crowned Sparrow,Harris's Sparrow,White-throated Sparrow,Vesper Sparrow,Savannah Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,Rufous-crowned Sparrow,Canyon Towhee,Green-tailed Towhee,Spotted Towhee,Eastern Towhee,Pyrrhuloxia,Northern Cardinal,Red-winged Blackbird,Western/Eastern Meadowlark,Yellow-headed Blackbird,Rusty Blackbird,Brewer's Blackbird,Common Grackle,Boat-tailed Grackle,Great-tailed Grackle,Brown-headed Cowbird,Hooded Oriole,House Finch,Pine Siskin,Lesser Goldfinch,American Goldfinch,House Sparrow,location
2009,2009,0,0,0,0,7,0,8,148,130,904,0,0,0,250,5,11,4,2,2,1,253,19,1,9,0,0,180,0,0,0,0,0,0,77,0,0,0,3,4896,0,169,0,50,496,4,1,0,0,0,31,0,0,0,0,48,30,0,4,6,9,0,17,0,48,0,0,0,0,556,0,0,0,0,0,83,17,8,0,0,0,0,0,39,0,0,2,0,1991,1,1991,0,1,1,0,0,40,0,2037,3,0,0,476,442,0,0,4,2,3,0,0,0,0,0,0,0,16,0,0,0,77,24,0,56,76,0,0,39,1,0,0,83,21,0,0,0,0,0,2,1,3,225,0,254,0,0,0,198,78,0,0,0,2,16,0,0,0,0,0,1,111,3,0,4,24,179,18,0,5,284,0,0,8,0,0,98,6911,43,0,1039,0,2,22,1,0,2,439,0,0,0,9,0,0,0,15,0,0,10,101,1,19,105,2,19,27,4,5,0,0,0,5,2,0,149,1611,22,0,3,0,183,0,5779,36,0,86,1,0,154,189,Dallas
2010,2010,0,0,0,0,28,0,68,218,112,630,0,0,0,200,40,14,0,3,14,0,145,16,0,11,0,0,36,0,0,0,0,0,0,48,0,0,0,5,8877,0,79,0,51,78,5,1,0,0,0,10,0,0,0,0,33,36,3,1,5,8,0,18,0,49,0,0,0,0,520,0,0,0,0,0,120,5,16,0,0,0,0,0,44,0,0,11,1,5,0,7376,0,2,1,0,0,9,0,1931,5,0,0,324,330,0,0,1,1,1,0,0,0,0,0,0,0,17,0,0,0,85,25,3,83,36,0,0,19,0,0,0,83,46,0,0,0,0,0,1,0,1,261,0,201,0,0,0,216,83,0,0,0,2,40,0,0,2,20,0,2,85,4,0,1,73,207,7,0,17,39,0,0,10,0,0,140,7064,50,0,104,0,2,30,1,0,6,384,0,4,0,6,0,0,0,98,0,0,8,121,46,7,297,0,66,76,37,14,0,0,0,7,4,0,266,683,32,0,16,0,1872,0,4611,8,0,46,1,0,145,297,Dallas
2011,2011,0,0,0,0,60,0,54,284,132,958,2,6,0,1023,4,78,0,1,66,0,176,19,1,23,0,0,252,0,0,0,0,0,0,113,0,0,0,5,7302,0,359,0,64,224,4,8,0,0,0,49,1,0,0,0,16,44,0,8,7,9,0,20,0,63,0,0,0,0,729,0,0,0,0,0,136,5,4,0,0,0,0,0,2,0,0,30,0,28,3,3542,0,1,2,0,0,46,0,1354,9,0,0,454,246,0,0,6,0,1,0,0,0,0,0,0,0,27,0,0,0,104,24,0,73,112,0,0,35,0,0,0,74,32,0,0,0,0,0,7,0,1,351,0,298,0,0,0,238,74,0,0,0,1,26,0,0,3,6,1,3,72,2,0,12,21,82,39,0,15,823,0,0,16,0,0,213,4689,89,0,1438,0,0,21,1,0,1,631,0,1,0,15,0,0,0,53,0,0,26,253,11,161,312,0,23,102,17,22,0,0,0,19,8,0,254,1734,137,0,6,1,224,0,3602,14,0,29,0,0,266,194,Dallas
2012,2012,0,0,0,0,16,0,25,335,286,975,2,1,0,1050,9,63,0,0,104,0,498,25,0,20,0,0,89,0,0,0,0,0,0,60,6,0,0,2,10235,0,352,0,43,237,1,0,0,0,0,16,0,54,0,0,18,38,0,7,6,14,0,26,0,54,0,0,0,0,551,0,0,0,0,0,101,20,5,0,0,0,0,0,138,0,0,11,0,747,0,9906,0,3,1,0,0,90,0,1905,6,0,0,364,343,0,0,2,1,5,0,0,0,0,0,1,0,18,0,0,0,116,25,0,83,36,0,0,35,0,0,0,89,36,0,0,0,0,0,4,0,2,258,0,233,0,0,0,228,135,0,0,8,1,28,0,0,1,8,1,1,113,0,0,1,39,89,48,0,10,130,0,0,17,0,0,177,4649,91,0,139,0,3,21,0,0,9,372,0,3,0,4,0,0,0,32,0,0,7,123,13,10,180,0,21,62,4,6,0,0,0,19,4,0,243,1465,34,0,1,0,185,0,3486,202,0,164,9,0,326,230,Dallas
2013,2013,0,0,0,0,34,0,118,424,158,979,0,24,0,1285,15,133,15,0,135,4,237,45,0,63,2,1,501,0,0,0,0,0,0,64,3,0,7,7,6293,0,333,0,54,170,0,0,0,0,0,26,0,0,0,0,4,4,2,0,7,11,0,16,0,44,0,0,0,0,601,0,0,0,0,0,90,5,4,0,0,0,0,0,91,0,0,3,0,102,2,1649,0,7,1,0,0,59,0,1357,7,0,0,412,307,1,0,2,1,4,0,0,0,0,0,0,0,13,0,0,0,96,12,1,48,36,0,0,26,0,0,0,40,15,0,0,0,0,0,3,0,1,380,0,204,0,0,0,161,93,0,0,0,2,19,0,0,2,4,0,3,96,1,0,2,31,105,29,0,10,1056,0,0,29,0,0,188,3571,100,0,2064,0,0,20,0,0,16,205,0,2,0,18,0,0,0,47,0,0,21,213,28,193,311,0,31,66,2,6,0,0,0,14,9,0,273,1035,1,0,5,4,11,0,4877,12,0,124,0,0,312,192,Dallas
2014,2014,0,0,1,0,190,0,79,202,296,1279,0,0,0,507,1,45,13,0,117,0,254,23,0,27,0,0,541,0,0,0,0,0,0,36,0,0,1,6,9517,0,154,0,56,277,3,0,0,0,0,36,0,25,0,0,4,5,0,0,5,12,0,17,0,27,0,0,0,0,309,0,0,0,0,0,19,4,2,0,0,0,0,0,117,0,0,0,0,265,1,3347,0,1,3,0,0,18,0,2644,21,0,0,599,421,0,0,8,3,2,0,0,0,0,0,0,0,12,0,0,0,137,23,1,121,55,0,0,29,0,0,0,106,26,0,0,0,0,0,6,0,1,515,0,229,0,0,0,241,126,0,0,0,0,20,0,0,2,5,0,1,134,0,0,3,42,143,15,0,10,181,0,0,14,0,0,212,6387,2,0,533,0,0,15,3,0,0,340,0,1,0,3,0,0,0,18,1,0,9,237,12,42,220,0,8,36,6,5,0,0,0,20,7,0,318,2349,40,0,0,0,9,0,4937,7,0,94,0,0,433,229,Dallas
2015,2015,0,0,12,0,90,0,23,230,292,719,0,2,0,293,4,8,9,1,46,0,275,13,0,24,0,0,74,0,0,0,0,0,0,60,0,0,0,13,3866,0,132,0,54,351,4,0,0,0,0,6,0,0,0,0,66,69,0,0,6,18,0,21,0,37,0,0,0,0,455,0,0,0,0,0,30,8,3,0,0,0,0,0,31,0,0,0,0,15,0,2092,0,5,3,0,0,0,0,3002,16,2,0,413,173,0,0,3,0,2,0,0,0,0,0,0,0,12,0,0,0,121,23,3,64,41,0,0,16,0,0,0,68,47,0,0,0,0,1,3,0,1,370,0,256,0,0,0,193,79,0,0,0,1,25,0,0,1,5,0,0,86,1,0,0,58,161,37,0,7,125,0,0,3,0,0,133,4355,14,0,1395,0,0,43,1,0,17,379,0,0,0,0,0,0,0,12,0,0,5,330,4,44,332,0,19,24,6,0,0,0,1,5,4,0,160,285,78,0,1,0,56,0,2718,13,0,52,15,0,262,125,Dallas
2016,2016,0,0,0,0,139,0,30,155,228,957,0,4,0,323,2,70,0,1,118,0,229,29,0,41,0,2,138,0,0,0,0,0,0,65,2,0,0,13,3525,0,90,0,57,193,2,0,0,0,0,36,0,14,0,0,6,96,0,0,6,18,0,17,0,43,0,0,1,0,306,0,0,0,0,0,52,16,3,0,0,0,0,0,24,0,0,1,0,32,24,2876,0,11,3,0,0,10,0,2791,1,0,0,611,248,0,0,5,1,4,0,0,0,0,0,0,0,12,0,0,0,123,26,1,76,40,0,0,49,1,0,0,56,47,0,0,0,0,0,1,0,2,323,0,228,0,0,0,240,83,0,0,0,0,14,0,0,1,1,0,1,151,2,0,0,56,135,33,0,7,154,0,0,7,0,0,111,1679,0,0,571,0,0,32,1,0,5,311,0,0,0,1,0,0,0,13,0,0,7,118,0,19,257,0,2,36,1,5,0,0,0,2,3,0,185,722,492,0,0,0,145,0,2828,17,0,70,0,0,199,163,Dallas
2017,2017,0,0,0,0,130,0,27,357,171,876,0,1,0,410,5,64,7,0,181,0,312,31,0,31,0,0,21,0,0,0,0,0,0,64,0,0,0,37,6399,0,120,0,72,192,5,0,0,0,0,11,0,12,0,0,24,64,0,1,4,14,0,23,0,44,0,0,0,0,422,0,0,0,0,0,229,9,3,0,0,0,0,0,177,0,0,18,0,14,0,725,0,5,7,0,0,7,0,2767,1,0,0,337,339,1,1,1,1,5,0,0,0,0,0,0,0,15,0,0,0,148,27,1,67,46,0,0,58,0,0,0,87,45,0,0,0,0,0,1,0,3,340,0,377,0,0,0,184,56,0,0,0,1,10,0,0,1,2,0,0,87,0,0,0,14,123,43,0,9,595,0,0,12,0,0,102,2238,36,0,1053,0,0,15,2,0,4,417,0,1,0,9,0,0,0,14,0,0,9,157,0,18,206,0,8,42,4,3,0,0,0,15,3,0,180,3005,6,0,7,0,144,0,1739,19,0,121,0,0,184,113,Dallas
2018,2018,2,0,0,0,243,0,66,395,201,682,0,0,0,308,125,72,1,4,107,0,247,29,0,6,1,0,52,0,0,0,0,0,0,66,0,0,0,17,2544,0,305,0,51,514,2,0,0,0,0,19,0,0,0,0,69,102,1,2,2,16,1,14,0,46,0,0,0,0,262,0,0,0,0,0,35,10,4,0,0,0,0,0,7,0,0,7,0,0,6,6325,0,3,3,0,0,9,0,2995,2,3,0,402,119,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,126,33,0,90,52,1,0,24,0,0,0,40,37,0,0,0,0,0,0,0,8,269,0,261,0,0,0,230,91,0,0,1,1,15,0,0,2,1,0,3,114,2,0,0,14,121,81,0,12,162,0,0,12,0,0,123,761,11,0,446,0,1,30,6,0,4,386,0,1,0,8,0,0,0,4,0,0,4,136,27,48,289,0,8,32,8,4,0,0,0,9,1,0,161,391,8,0,0,0,96,0,1059,3,0,142,0,0,135,111,Dallas
2019,2019,0,0,0,0,270,0,45,308,175,791,0,0,0,457,8,67,0,0,111,0,272,27,0,36,0,1,122,0,0,0,0,0,0,89,0,0,4,27,5505,0,556,0,96,181,2,0,0,0,0,13,0,0,0,0,31,21,1,3,2,14,0,25,0,118,0,0,0,0,452,0,0,0,0,0,31,3,14,0,0,0,0,0,27,0,0,22,0,10,1,3807,0,21,11,0,0,6,0,4173,2,0,0,332,198,0,0,0,1,1,1,0,0,0,0,0,0,16,0,0,0,148,26,0,85,44,0,0,32,1,0,0,46,53,0,0,0,0,0,5,1,1,414,0,325,0,0,0,216,87,0,0,0,3,5,0,0,4,0,0,1,126,1,0,2,2,123,57,0,4,562,1,0,18,0,0,135,1741,135,0,1252,0,0,19,6,0,12,437,0,0,0,2,0,0,0,4,0,0,7,206,30,35,275,1,76,61,6,20,0,0,0,5,2,0,275,1553,41,0,0,1,132,0,2262,8,0,156,0,0,259,141,Dallas
2009,2009,0,0,2,0,0,0,40,72,158,174,0,1,2,71,7,145,0,6,70,0,15,21,1,1,20,5,114,35,60,0,0,0,0,29,0,0,2,84,0,0,0,0,15,1,8,0,0,0,1,6,0,0,0,0,0,0,0,15,6,16,0,0,4,23,2,9,12,13,140,55,12,0,0,0,42,3,5,0,0,0,0,0,162,0,23,4,0,0,0,900,2,1,0,0,0,0,0,1919,164,58,0,3528,367,5,0,0,2,0,0,0,168,5,0,0,0,6,0,0,6,0,0,55,0,58,0,0,23,1,2,0,0,0,18,16,0,0,0,3,0,0,1,84,0,0,0,0,0,0,0,29,10,2,0,13,1,4,0,0,8,0,13,11,0,0,65,0,78,3,219,0,12,0,0,11,93,385,10,0,48,22,0,6,0,0,0,108,0,0,0,0,0,1,43,0,0,0,0,166,175,0,0,0,9,17,5,2,12,7,2,16,0,19,0,884,15,1366,0,787,0,0,2689,115,1,523,1,13,0,469,El Paso
2010,2010,0,0,1,0,0,0,35,62,308,222,0,0,1,234,0,171,6,4,29,0,8,18,0,5,5,0,109,19,58,0,0,0,0,26,0,0,1,61,0,0,0,0,12,3,32,0,0,0,1,2,0,0,0,0,0,0,0,3,3,7,0,0,2,25,1,12,17,9,135,0,32,0,0,0,34,2,5,0,0,0,0,0,146,0,145,3,0,0,0,2396,2,4,0,0,0,0,0,700,116,62,0,1448,331,2,0,0,0,0,0,0,0,7,0,0,0,8,0,0,2,0,0,30,0,31,0,0,16,2,0,0,0,0,19,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,13,0,1,21,1,1,0,0,7,0,8,13,1,0,83,0,0,0,95,0,18,0,0,1,53,289,35,0,17,12,0,8,0,0,0,156,0,0,0,12,3,18,47,0,0,0,0,64,74,0,1,0,25,15,25,4,7,11,0,8,0,14,0,285,10,8000,0,390,0,0,406,82,1,512,0,34,1,303,El Paso
2011,2011,0,0,2,1,0,0,46,51,406,366,0,0,0,345,20,122,2,13,37,1,13,11,1,1,7,1,63,5,25,0,0,0,0,19,0,0,11,39,2,0,0,0,14,2,11,0,0,0,1,4,0,0,0,0,0,0,0,1,6,5,0,0,1,12,1,8,5,7,200,0,16,0,0,0,22,3,2,0,0,0,0,0,35,0,65,4,0,0,1,937,0,1,0,0,0,0,0,1134,116,29,0,1669,168,1,0,0,0,0,0,0,7,7,1,2,0,1,0,0,4,0,0,20,0,20,0,0,23,1,1,1,0,0,9,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,5,0,2,11,0,0,23,0,12,3,130,0,3,0,0,1,34,2338,28,0,5,12,0,4,1,0,0,37,0,0,0,6,1,1,23,0,0,0,0,76,233,0,1,0,4,25,9,0,5,8,0,5,0,13,0,368,42,9360,0,631,0,0,707,432,0,465,2,10,1,485,El Paso
2012,2012,0,0,2,0,0,0,93,124,351,473,0,0,0,342,15,346,2,0,20,1,33,11,1,1,4,0,63,0,80,0,0,0,0,26,0,0,7,67,14,0,0,0,19,5,3,0,0,0,0,7,0,0,0,0,0,0,0,2,6,8,0,0,2,14,1,7,18,7,0,15,33,0,0,0,37,2,2,0,0,0,0,0,92,0,124,6,0,0,0,1686,1,3,0,0,0,0,0,1778,169,27,0,4192,210,2,0,0,0,0,0,0,2,6,0,1,0,5,0,0,11,0,1,50,0,27,0,0,18,0,1,0,0,0,13,17,1,0,0,2,0,0,0,34,16,0,0,0,0,0,0,33,5,0,0,15,1,0,0,0,5,0,4,17,0,0,62,6,7,6,118,0,20,0,0,3,81,562,6,0,3,14,0,6,0,0,0,149,0,0,0,27,2,0,20,0,0,0,0,112,160,0,0,0,17,23,12,7,5,11,0,4,0,8,0,218,1,7509,0,987,0,0,1171,275,1,599,0,24,2,728,El Paso
2013,2013,0,0,2,0,25,0,62,144,458,457,0,0,1,262,14,127,4,0,50,1,18,8,0,4,44,1,64,18,3,0,0,0,0,29,0,0,6,90,16,0,0,0,16,11,7,0,0,0,0,6,0,0,0,0,0,0,0,0,6,9,0,0,1,12,1,5,15,1,278,0,25,0,0,0,16,2,6,0,0,0,0,0,68,0,44,2,0,0,0,2853,0,3,0,0,0,0,0,1408,84,28,0,2705,296,0,0,0,1,0,0,0,6,1,1,1,0,7,0,0,13,0,0,27,0,47,0,0,21,1,4,1,0,0,3,7,0,0,0,1,0,1,0,13,0,0,0,0,0,0,0,24,5,0,1,11,0,11,0,0,3,0,3,10,5,0,57,0,50,2,366,0,10,0,0,1,39,176,7,0,59,11,0,1,0,0,1,100,0,0,0,76,9,4,45,0,0,0,1,34,118,1,2,2,8,11,36,0,1,5,3,18,0,10,0,215,0,3100,0,82,0,0,3525,15,3,333,0,32,1,533,El Paso
2014,2014,0,0,3,0,0,0,59,103,402,304,0,0,0,323,18,224,8,8,214,2,31,32,0,17,17,0,85,17,77,0,0,0,0,27,0,0,2,25,4,0,0,0,12,7,5,0,0,1,0,13,0,0,0,0,0,0,0,0,10,6,0,0,0,27,1,4,14,2,361,0,0,0,0,0,47,6,1,0,0,0,0,0,154,0,31,1,0,0,0,3329,2,5,0,0,0,0,0,1242,231,44,0,3395,638,1,0,0,0,0,0,0,21,4,2,0,0,8,0,0,7,0,1,54,0,45,0,0,36,1,1,1,0,0,17,18,0,0,0,6,0,0,0,41,0,0,0,0,0,0,0,35,21,2,1,44,2,7,0,0,9,0,13,16,1,0,132,9,17,4,201,0,19,1,0,9,78,233,5,0,58,20,0,10,0,0,0,148,0,0,0,130,16,9,79,0,0,0,0,126,246,0,5,0,1,20,27,1,4,14,6,25,0,9,0,80,6,3100,0,819,0,0,586,112,2,1128,4,36,0,659,El Paso
2015,2015,0,0,0,0,0,0,68,73,269,441,0,0,0,231,5,155,7,1,88,3,49,17,2,19,26,0,123,0,83,0,0,0,0,37,0,0,1,53,0,0,0,0,20,27,4,0,0,0,0,10,0,0,0,0,0,0,0,1,3,6,0,0,1,11,0,10,10,3,654,0,27,0,0,0,44,0,1,0,0,0,0,0,120,0,57,0,0,0,0,2577,1,3,1,0,0,0,0,1003,365,19,0,1942,1037,3,0,0,0,0,0,0,0,4,2,0,0,7,0,0,11,0,0,30,0,22,0,0,26,1,0,0,0,0,12,17,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,9,0,1,0,0,1,0,2,13,0,0,25,2,7,1,229,0,11,0,0,3,57,767,3,0,34,10,0,4,0,0,0,50,0,0,0,4,0,0,32,0,0,0,0,87,97,0,0,0,1,5,5,0,5,13,2,1,0,12,0,267,0,780,0,258,0,0,408,65,1,733,0,12,0,348,El Paso
