year,year,Black-bellied Whistling-Duck,Greater White-fronted Goose,Snow Goose,Ross's Goose,Canada Goose,Mute Swan,Wood Duck,Gadwall,American Wigeon,Mallard,Mottled Duck,Blue-winged Teal,Cinnamon Teal,Northern Shoveler,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Greater Scaup,Lesser Scaup,Bufflehead,Common Goldeneye,Hooded Merganser,Common Merganser,Red-breasted Merganser,Ruddy Duck,Scaled Quail,Gambel's Quail,Northern Bobwhite,Wild Turkey,Common Loon,Least Grebe,Pied-billed Grebe,Horned Grebe,Red-necked Grebe,Eared Grebe,Neotropic Cormorant,Double-crested Cormorant,Anhinga,American White Pelican,Brown Pelican,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Tricolored Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,White Ibis,White-faced Ibis,Roseate Spoonbill,Black Vulture,Turkey Vulture,Osprey,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Bald Eagle,Red-shouldered Hawk,Harris's Hawk,Red-tailed Hawk,Ferruginous Hawk,Virginia Rail,Sora,Common Gallinule,American Coot,Sandhill Crane,Black-necked Stilt,American Avocet,Black-bellied Plover,Semipalmated Plover,Killdeer,Greater/Lesser Yellowlegs,Spotted Sandpiper,Solitary Sandpiper,Willet,Ruddy Turnstone,Sanderling,Western Sandpiper,Least Sandpiper,Dunlin,Short-billed/Long-billed Dowitcher,Wilson's Snipe,Laughing Gull,Bonaparte's Gull,Franklin's Gull,Ring-billed Gull,California Gull,Herring Gull,Lesser Black-backed Gull,Caspian Tern,Royal Tern,Forster's Tern,Black Skimmer,Rock Pigeon,Eurasian Collared-Dove,Inca Dove,Common Ground-Dove,White-winged Dove,Mourning Dove,Greater Roadrunner,Barn Owl,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Long-eared Owl,Common Pauraque,White-throated Swift,Anna's Hummingbird,Broad-tailed Hummingbird,Rufous Hummingbird,Ringed Kingfisher,Belted Kingfisher,Green Kingfisher,Golden-fronted Woodpecker,Acorn Woodpecker,Red-bellied Woodpecker,Yellow-bellied Sapsucker,Ladder-backed Woodpecker,Downy Woodpecker,Northern Flicker,Pileated Woodpecker,Crested Caracara,American Kestrel,Merlin,Peregrine Falcon,Prairie Falcon,Monk Parakeet,Eastern Phoebe,Black Phoebe,Say's Phoebe,Vermilion Flycatcher,yellow-bellied kingbird sp.,Scissor-tailed Flycatcher,Loggerhead Shrike,White-eyed Vireo,Blue-headed Vireo,Blue Jay,Western Scrub-Jay,American Crow,Common Raven,Tree Swallow,Cliff/Cave Swallow,Carolina Chickadee,Tufted Titmouse,Black-crested Titmouse,Verdin,Red-breasted Nuthatch,White-breasted Nuthatch,Brown Creeper,Rock Wren,Canyon Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Carolina Wren,Bewick's Wren,Cactus Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Western Bluebird,Hermit Thrush,American Robin,Gray Catbird,Curve-billed Thrasher,Brown Thrasher,Long-billed Thrasher,Crissal Thrasher,Northern Mockingbird,European Starling,American Pipit,Sprague's Pipit,Cedar Waxwing,Phainopepla,Black-and-white Warbler,Orange-crowned Warbler,Common Yellowthroat,Yellow Warbler,Pine Warbler,Yellow-rumped Warbler,Grasshopper Sparrow,Le Conte's Sparrow,Seaside Sparrow,Chipping Sparrow,Black-chinned Sparrow,Brewer's Sparrow,Black-throated Sparrow,Field Sparrow,Lark Sparrow,Lark Bunting,Fox Sparrow,Dark-eyed Junco,White-crowned Sparrow,Harris's Sparrow,White-throated Sparrow,Vesper Sparrow,Savannah Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,Rufous-crowned Sparrow,Canyon Towhee,Green-tailed Towhee,Spotted Towhee,Eastern Towhee,Pyrrhuloxia,Northern Cardinal,Red-winged Blackbird,Western/Eastern Meadowlark,Yellow-headed Blackbird,Rusty Blackbird,Brewer's Blackbird,Common Grackle,Boat-tailed Grackle,Great-tailed Grackle,Brown-headed Cowbird,Hooded Oriole,House Finch,Pine Siskin,Lesser Goldfinch,American Goldfinch,House Sparrow,location
2018,2018,129,107,0,0,0,0,2,230,21,17,0,11,0,256,20,215,38,4,102,0,9,34,1,24,0,0,230,0,0,5,1,0,7,25,0,0,22,97,225,2,42,0,37,41,12,1,0,36,0,3,0,0,0,0,710,45,3,2,4,8,0,37,0,51,0,0,3,0,187,12,10,0,0,0,101,13,9,0,0,0,0,0,28,0,0,40,0,2,1,981,0,0,0,0,0,0,0,611,66,19,9,821,526,5,0,1,14,1,0,2,0,0,0,0,0,6,0,45,0,0,8,83,0,2,0,87,34,0,0,0,0,203,0,0,12,12,10,88,63,10,16,0,39,6,0,0,50,0,87,25,0,0,0,0,0,95,1,0,3,119,42,0,67,4,194,24,0,31,222,1,2,0,4,0,298,596,210,0,748,0,3,82,23,0,11,659,30,0,0,94,0,0,0,9,23,0,3,45,158,21,114,225,292,87,257,16,0,0,0,4,0,21,465,4026,539,0,0,196,35,0,6092,832,0,180,11,52,561,362,San Antonio
2019,2019,141,1,21,0,0,0,4,190,46,22,0,11,9,1632,50,209,5,6,83,0,8,5,0,12,0,0,83,0,0,0,5,0,11,16,0,0,3,27,75,4,143,0,25,41,5,0,0,24,0,6,0,0,6,0,507,60,3,3,3,4,0,24,0,31,0,2,3,0,101,3,35,19,0,0,99,22,10,0,0,0,0,9,379,0,175,16,0,0,0,97,0,0,2,0,0,0,0,1145,6,12,4,222,321,4,0,1,8,2,0,2,0,0,0,0,0,3,4,50,0,1,2,60,2,4,0,60,33,1,1,0,0,122,0,3,8,4,0,67,26,5,27,0,33,3,0,0,82,0,128,31,1,0,0,1,0,20,2,0,0,122,34,0,32,1,171,6,0,18,2,1,0,0,13,0,24,1520,221,0,2,0,0,80,6,0,10,660,0,0,0,66,0,0,0,9,8,2,0,1,190,4,23,110,86,12,69,9,0,0,0,2,0,59,774,1662,675,0,6,57,580,0,10835,359,0,278,0,44,51,355,San Antonio
2009,2009,1,0,0,0,0,1,20,893,295,42,0,54,5,1486,49,938,6,23,109,1,452,241,2,14,0,0,503,0,0,0,0,0,6,92,0,0,21,7,629,4,28,0,79,86,39,12,1,0,2,13,1,0,3,0,584,318,20,21,10,33,0,54,0,73,0,0,6,0,1979,0,0,0,0,0,325,22,49,0,0,0,0,0,246,0,0,15,0,0,0,121,0,0,0,0,0,2,0,2439,51,62,0,1677,1000,2,1,8,4,3,0,0,0,0,0,0,0,35,3,2,0,139,35,12,64,31,0,51,65,2,0,0,246,302,0,0,1,6,29,61,4,37,202,0,332,0,0,5,330,165,0,0,0,0,1,0,6,82,0,1,10,312,21,0,63,5,592,140,0,38,3553,0,0,1,0,0,343,3048,353,0,2456,0,1,179,18,0,3,1990,14,7,0,323,0,0,0,227,4,1,2,9,340,173,73,392,831,138,351,28,0,0,0,26,1,0,901,3157,1065,0,0,120,3027,0,7731,1916,0,319,0,43,259,384,Austin
2010,2010,38,0,0,0,0,3,39,630,625,50,0,19,1,1767,27,256,13,43,163,0,389,276,12,25,0,0,470,0,0,8,0,0,3,89,0,0,4,2,599,3,99,0,47,58,74,9,0,1,2,10,0,0,0,0,314,259,13,19,9,18,1,57,0,110,0,2,8,3,1182,0,0,0,0,0,206,36,22,1,0,0,0,0,75,0,0,30,0,0,0,109,0,0,0,0,0,2,0,3115,18,75,1,945,746,1,0,3,6,8,0,0,0,0,0,0,1,22,3,1,0,139,31,16,69,18,2,48,64,1,0,0,189,247,0,0,1,1,0,37,10,30,268,1,300,0,0,41,404,185,0,0,0,0,5,0,7,70,27,1,4,269,16,0,19,117,517,78,0,69,90,0,0,2,0,0,471,1276,345,1,32,0,2,167,22,0,13,1110,40,2,0,284,0,0,0,145,0,0,1,16,414,12,70,234,440,158,236,27,0,0,0,23,0,2,942,8488,534,0,0,82,1180,0,9128,534,0,181,0,62,268,362,Austin
2011,2011,138,0,4,0,4,6,30,1026,615,68,0,25,4,1426,241,715,64,49,339,0,628,213,0,16,0,3,226,0,0,0,0,0,10,192,0,0,22,11,1407,5,61,0,67,83,78,12,0,1,2,4,1,1,0,0,487,258,16,17,13,18,4,37,0,113,0,1,4,8,3545,68,0,0,0,0,237,17,24,0,0,0,0,0,149,0,0,28,0,19,0,159,0,0,0,0,0,3,0,2550,30,34,7,1602,891,3,2,5,5,7,0,0,0,0,0,1,1,13,0,1,0,117,23,18,70,72,0,50,43,3,2,0,298,149,0,0,0,0,3,63,0,10,287,0,343,0,0,120,314,155,0,0,0,0,23,0,4,8,9,1,10,228,15,0,7,49,307,133,0,58,641,0,0,0,1,0,474,3803,270,1,519,0,2,145,25,0,2,895,1,1,0,113,0,0,0,74,2,2,19,43,522,146,65,201,148,71,42,14,0,0,0,63,0,0,740,1291,619,1,7,82,3699,0,18444,267,0,222,0,39,654,850,Austin
2012,2012,66,0,0,0,0,9,50,1487,868,56,0,14,0,2311,140,852,38,31,219,0,1210,437,2,23,0,0,178,0,0,0,0,1,6,133,0,0,4,2,1139,5,193,0,73,102,102,9,0,2,6,14,5,3,0,0,505,231,20,41,8,19,3,48,2,127,0,0,12,1,3685,0,0,0,0,0,369,23,47,0,0,0,0,1,261,0,0,49,0,10,0,88,0,0,0,0,0,1,0,6596,111,45,3,2776,1581,0,1,7,11,5,0,0,0,0,0,0,2,39,0,1,0,186,25,22,80,44,3,52,49,3,1,0,216,198,0,0,2,5,12,73,2,9,352,0,187,0,0,0,283,140,0,0,10,1,11,0,4,47,2,0,4,363,18,0,22,57,488,78,0,47,275,0,0,1,0,0,505,2502,219,3,141,0,2,177,19,0,22,1269,5,5,0,128,0,0,0,128,54,0,0,1,214,7,37,130,484,73,198,15,1,0,0,22,0,0,1011,16638,300,0,2,2947,1224,0,15284,5159,0,535,5,102,324,834,Austin
2013,2013,25,0,0,0,1,5,76,962,507,42,0,12,7,1926,89,329,84,55,204,0,621,240,0,26,0,0,180,0,0,0,0,0,4,167,0,0,10,3,1839,1,220,0,105,145,110,8,0,15,0,16,0,0,0,0,570,197,37,22,14,10,2,64,0,143,0,0,5,0,1491,1,0,0,0,0,286,51,38,2,0,0,0,1,257,0,0,51,0,9,0,519,0,0,0,0,0,8,0,1949,69,70,2,1633,1075,1,0,4,10,5,0,0,0,0,1,3,3,34,0,8,0,149,11,15,60,22,0,58,37,3,4,0,238,138,0,0,2,2,0,63,3,14,389,1,434,0,0,78,271,114,18,0,0,0,4,0,6,30,1,0,5,339,8,0,20,23,431,166,0,24,65,0,0,0,0,0,377,5830,216,1,561,0,0,95,16,0,48,457,8,2,0,139,0,0,0,40,4,0,8,31,255,33,127,142,200,68,99,11,0,0,0,21,2,1,997,3236,621,0,4,519,5261,0,14460,1092,0,310,0,141,605,783,Austin
2014,2014,26,0,0,0,0,6,53,984,512,55,0,6,1,1002,92,345,98,50,314,1,628,310,0,8,0,0,112,0,0,4,0,0,2,154,0,0,19,2,2047,4,204,0,65,108,92,6,0,0,0,5,0,0,0,0,689,148,24,7,6,25,1,83,0,107,0,0,4,6,1650,0,0,0,0,0,143,10,28,0,0,0,0,0,122,0,0,24,0,0,0,70,0,0,0,0,0,0,0,3579,92,45,0,3316,1375,2,0,5,8,12,0,0,0,0,0,1,6,32,1,5,0,239,17,28,83,52,7,43,55,5,4,0,363,185,0,0,1,1,0,63,5,12,333,0,297,2,0,0,369,307,0,0,1,0,4,0,14,63,7,0,6,417,65,0,21,50,590,134,0,28,108,3,0,1,0,0,588,3204,239,1,491,0,2,155,17,0,10,1491,7,1,0,161,0,0,0,114,12,0,8,18,277,121,149,143,218,85,155,10,1,0,0,29,0,4,1116,9367,451,0,22,1944,594,0,12966,2342,0,292,0,134,291,845,Austin
2015,2015,0,2,0,0,0,1,65,722,313,19,0,2,0,904,39,168,40,63,149,1,576,142,0,9,0,0,96,0,0,0,0,0,2,127,0,0,1,3,1367,5,33,0,83,142,139,18,0,9,1,13,0,0,1,0,947,268,25,3,12,29,4,59,0,92,0,0,6,2,665,0,0,0,0,0,387,11,29,1,0,0,0,0,536,0,0,50,0,0,0,69,0,0,0,0,0,0,0,2562,18,31,1,1584,664,4,0,3,5,4,0,0,0,0,0,1,6,33,2,3,0,195,29,24,62,47,6,63,41,3,3,0,407,229,1,0,0,0,4,64,9,21,515,0,314,2,0,26,411,206,0,0,0,0,2,0,14,34,7,0,2,427,26,0,49,50,646,118,0,58,395,0,0,1,0,0,526,3708,216,3,1708,0,1,198,21,0,69,1470,0,1,0,154,0,0,0,117,3,0,10,112,207,130,166,80,129,111,87,7,0,0,0,31,2,9,874,3057,629,0,1,221,1216,0,11093,341,0,147,18,91,719,915,Austin
2016,2016,295,0,0,0,0,7,42,594,610,27,0,32,0,1083,36,159,103,72,416,0,346,125,0,13,0,1,152,0,0,0,0,0,7,106,0,0,11,5,741,6,39,0,67,69,128,8,0,0,1,6,1,0,0,0,591,150,15,3,8,19,4,44,0,72,0,0,10,1,790,0,0,0,0,0,204,14,13,4,0,0,0,0,184,0,0,36,0,0,0,128,0,0,0,0,0,0,0,3481,70,19,0,2438,688,0,2,5,7,5,0,0,0,0,0,1,4,23,1,2,0,142,9,17,41,34,1,72,66,3,2,0,279,212,0,0,1,2,10,70,4,24,302,0,171,0,0,44,218,130,0,0,0,0,0,0,9,57,2,0,5,340,22,0,50,13,529,82,0,32,66,0,0,0,0,0,306,3530,176,2,1089,0,1,220,37,0,28,904,22,0,0,167,0,0,0,64,6,0,0,6,131,35,68,75,287,81,128,8,0,0,0,7,0,0,628,4549,380,1,0,3040,137,0,11841,1132,0,240,0,66,114,484,Austin
2017,2017,12,0,0,0,0,4,46,887,222,38,0,14,0,1306,51,458,42,8,198,4,647,147,0,24,0,0,84,0,0,0,0,0,8,86,0,0,4,224,1461,4,190,0,87,102,91,4,0,19,2,9,3,0,0,0,355,133,18,14,3,12,3,64,3,108,0,0,11,3,379,0,0,0,0,0,283,16,22,1,0,0,0,0,341,0,0,28,0,0,0,147,0,0,0,0,0,0,0,2678,68,27,0,1563,636,0,3,2,7,1,0,0,0,0,0,0,5,22,1,3,0,96,11,29,51,13,0,46,66,3,3,0,418,202,0,0,0,3,9,36,8,25,316,0,145,1,0,59,170,116,0,0,1,0,1,0,9,62,7,1,6,245,20,0,38,8,506,113,0,52,76,0,0,1,0,0,269,3270,396,0,569,0,5,193,37,0,13,1316,0,0,0,147,0,0,0,153,1,0,9,18,188,110,86,53,351,114,147,10,0,0,0,25,3,0,663,16439,620,0,0,2516,357,0,10395,11184,0,182,0,79,429,360,Austin
2018,2018,120,0,0,0,0,5,13,574,176,108,0,24,3,461,37,288,63,31,184,0,243,85,0,16,0,0,402,0,0,0,0,0,0,112,0,0,3,3,550,5,0,0,67,72,96,9,0,2,5,5,1,0,0,0,914,186,19,19,12,32,3,64,1,143,0,0,7,1,341,0,0,0,0,0,162,17,14,8,0,0,0,0,270,0,0,31,0,0,0,53,0,0,0,0,0,0,0,2128,31,18,0,1411,566,2,0,2,6,5,1,0,0,0,0,1,5,25,4,1,0,134,24,24,69,23,6,94,36,2,2,0,344,257,0,0,0,15,13,45,9,55,248,0,171,3,0,0,285,194,0,0,6,0,1,0,7,84,9,0,2,288,27,0,51,32,403,107,0,53,68,1,0,1,0,0,304,1129,321,7,826,0,2,152,20,0,35,952,3,1,0,127,0,0,0,53,5,0,4,26,141,39,197,51,303,83,121,21,0,0,0,18,2,0,704,1736,414,0,0,1980,1322,0,10847,713,0,169,9,81,432,598,Austin
2019,2019,305,0,0,0,0,8,21,576,303,38,0,55,0,939,88,154,22,17,125,0,548,112,0,28,0,0,78,0,0,0,0,0,13,184,0,0,3,18,657,4,19,0,71,56,221,3,0,0,2,4,0,0,0,0,722,146,21,10,7,18,3,59,1,143,0,0,3,0,503,0,0,0,0,0,197,22,13,2,0,0,0,0,130,0,0,34,0,0,0,69,0,0,0,0,0,0,0,2237,68,6,0,1397,341,0,0,2,5,6,0,0,0,0,0,0,0,16,1,1,0,136,12,27,63,3,4,58,36,2,2,0,218,266,0,0,1,1,6,39,4,26,349,2,190,7,0,0,376,184,0,0,0,0,1,0,2,41,4,0,7,325,20,0,17,16,238,65,0,12,9,3,0,0,0,0,367,3238,381,0,439,0,0,156,38,0,38,658,0,0,0,86,0,0,0,30,1,0,0,2,70,35,79,36,214,31,65,0,0,0,0,0,0,1,737,2804,472,0,4,166,451,0,2522,231,0,177,0,123,156,483,Austin
2009,2009,92,35,1034,1,0,0,3,413,55,27,17,39,0,129,23,93,11,3,181,2,2616,94,39,20,0,27,273,0,0,0,0,2,0,58,0,10,0,216,290,9,118,111,59,63,41,10,5,3,0,26,0,29,0,24,72,61,15,7,4,3,5,31,0,35,0,0,4,0,94,0,0,10,3,1,193,24,15,0,4,0,4,89,633,700,0,0,251000,0,0,100000,0,130,1,15,18,70,0,428,21,4,0,32,290,0,0,2,1,0,0,0,0,0,0,0,0,18,0,0,0,68,20,0,23,16,24,4,19,0,1,0,0,48,0,0,0,0,0,38,2,2,80,0,81,0,287,1,63,5,0,0,0,0,0,0,0,15,0,7,3,63,0,0,58,0,140,57,0,5,421,5,0,4,0,0,107,577,11,0,266,0,0,50,14,911,10,0,0,4,1,61,0,0,0,6,0,0,0,8,5,0,22,2,71,5,16,52,0,0,0,0,0,0,125,443,46,0,0,0,154,4,496,61,0,1,0,0,261,172,Houston
2010,2010,0,50,515,1,0,0,9,1118,100,21,18,38,0,431,0,165,233,0,23,0,479,21,38,23,0,10,300,0,0,0,0,10,0,61,0,3,0,102,190,10,217,138,71,67,88,18,6,4,0,0,0,68,12,6,65,40,11,10,2,4,3,18,0,29,0,0,2,1,353,0,5,7,12,10,116,15,12,0,20,2,6,512,65,32,373,6,2871,0,0,758,0,52,0,46,3,14,0,468,16,0,0,57,65,0,0,2,4,0,0,0,0,0,0,0,0,19,0,0,0,43,13,0,22,4,0,3,22,0,0,0,0,54,0,0,0,0,0,26,0,3,62,0,50,0,24,0,91,7,0,0,0,0,5,0,0,11,1,3,4,31,0,0,24,61,104,93,0,4,1,5,0,1,0,0,79,274,48,0,3,0,0,43,4,828,75,0,0,0,2,75,0,0,0,0,0,0,0,2,1,0,39,0,145,3,7,39,0,0,0,0,0,0,89,2366,14,0,0,0,134,0,256,0,0,1,0,0,230,92,Houston
2011,2011,13,48,270,5,0,0,20,4673,725,26,50,370,0,514,130,294,703,87,19,23,140,21,13,25,0,22,3348,0,0,0,0,15,0,88,3,7,0,318,333,7,115,236,111,52,74,5,4,0,0,166,0,38,8,14,157,62,12,11,2,5,4,15,0,35,0,0,0,0,364,156,5,21,5,5,67,7,17,0,5,1,13,8,285,2,0,3,5934,2,1,412,0,71,2,2,28,40,0,327,4,0,0,93,240,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,33,20,0,14,4,3,6,18,2,2,0,0,38,0,0,0,0,0,31,0,2,46,0,28,0,4,0,67,3,0,0,0,0,1,0,0,8,0,3,3,10,0,0,14,19,62,119,0,2,133,1,0,3,0,0,67,469,258,0,50,0,0,40,4,319,8,0,0,0,0,18,0,0,0,10,0,0,2,1,2,5,44,0,153,5,12,49,0,0,1,0,0,0,46,2669,33,0,0,0,70,0,160,50,0,2,0,0,236,59,Houston
2012,2012,50,0,10043,31,0,0,4,551,54,13,8,16,0,53,22,44,1000,1,152,2,4513,67,18,27,0,164,566,0,0,0,0,33,0,46,30,1,0,121,383,8,172,351,72,57,87,15,10,0,0,58,0,39,1,21,81,104,24,16,2,1,4,19,0,28,0,0,1,0,38,0,8,34,60,2,203,41,31,0,26,35,127,55,62,82,87,1,7583,2,0,5600,0,335,2,29,32,55,255,150,47,0,0,105,336,0,0,4,3,0,0,0,0,0,0,0,0,30,0,0,0,50,10,0,19,3,7,9,24,0,5,0,1,38,0,0,4,0,0,46,1,0,125,0,32,0,25,0,82,33,0,0,2,0,0,0,0,16,0,15,5,35,0,0,39,5,66,117,0,10,443,6,0,5,0,0,104,1032,55,1,208,0,0,26,5,641,23,0,0,0,11,25,0,0,0,3,0,0,0,0,29,0,37,4,112,9,2,44,0,0,0,0,0,0,108,582,34,0,0,0,20190,0,508,215,0,3,0,0,124,70,Houston
2013,2013,125,298,1925,6,0,0,6,261,90,17,27,33,0,477,220,265,270,77,31,0,286,12,8,76,0,120,303,0,0,0,0,10,0,50,3,4,0,70,498,4,225,104,71,67,97,3,4,7,1,2,0,103,5,85,150,87,29,10,5,4,4,11,0,27,0,0,1,0,324,19,11,116,91,7,135,57,13,0,16,1,13,123,123,231,103,0,2693,1,0,593,0,207,4,9,49,109,4,266,107,0,0,105,274,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,45,10,0,21,14,6,6,27,0,2,0,0,41,0,0,1,0,0,39,15,0,87,0,56,0,111,5,51,12,0,0,0,0,0,0,0,13,1,3,10,32,0,0,18,2,120,100,0,32,418,5,0,49,0,0,126,1481,61,0,32,0,0,38,4,711,34,0,0,0,3,58,0,0,0,1,0,0,1,3,7,2,86,0,82,13,5,27,0,0,0,1,2,0,97,2494,29,0,0,0,6204,0,315,331,0,8,1,0,275,80,Houston
2014,2014,175,50,2725,5,0,0,1,11808,95,80,20,16,0,627,150,372,1304,71,69,1,2423,70,18,37,0,70,418,0,0,0,0,7,0,68,8,5,0,308,321,6,565,421,78,78,493,17,12,0,1,119,3,576,14,27,220,132,42,16,3,6,6,18,0,40,0,2,4,2,174,5,0,2,120,37,86,26,27,0,143,24,44,57,123,113,250,6,20177,1,1,2654,0,273,3,36,53,175,240,783,40,0,0,336,511,0,0,10,1,1,0,0,0,0,0,1,0,31,0,0,0,81,17,0,33,16,3,6,38,1,3,0,0,68,0,0,1,0,0,39,6,4,149,0,97,0,0,0,77,6,0,0,1,0,0,0,0,34,1,14,22,58,0,0,26,0,126,171,0,5,200,5,0,3,0,0,194,13443,106,0,112,0,0,56,12,1053,32,0,0,0,4,71,0,0,0,20,0,0,0,0,43,2,111,0,87,4,13,72,0,0,0,0,0,0,155,7255,41,0,0,0,3560,14,4218,120,0,51,0,0,194,144,Houston
2015,2015,42,0,87,0,0,0,0,3615,13,0,2,2,6,8,0,147,192,24,3,0,3534,195,79,43,0,56,111,0,0,0,0,20,1,44,48,5,0,355,436,0,1083,221,57,63,56,7,5,48,0,91,0,68,2,29,74,60,34,13,2,1,2,10,0,17,0,0,1,2,544,30,0,0,4,18,53,9,15,0,34,3,11,41,17,18,320,2,51662,1,2,5756,0,1318,5,14,14,385,150,163,49,25,0,97,98,0,0,12,2,0,0,0,0,0,0,0,0,14,0,0,0,28,19,0,14,7,6,10,23,0,1,0,0,44,0,0,2,0,0,17,2,2,86,0,45,0,400,1,25,0,0,0,0,0,0,0,0,0,1,2,5,18,0,0,27,2,110,137,0,20,4757,14,0,4,0,0,160,350,85,1,467,0,0,53,14,1097,39,0,0,2,1,34,0,0,0,3,0,0,0,0,2,0,99,3,71,8,3,64,0,0,0,0,0,0,82,891,49,0,0,0,167,3,289,60,0,12,1,0,300,76,Houston
2016,2016,81,115,4150,28,0,0,0,6019,5,34,49,28,0,198,29,324,201,75,76,0,3612,68,76,87,0,108,475,0,0,0,0,10,0,25,1,15,0,160,152,3,254,357,84,106,88,1,6,17,0,64,2,107,3,18,250,53,41,10,1,5,4,12,0,22,0,4,1,3,3893,3,0,24,10,11,74,46,15,0,77,7,27,169,114,104,323,1,19973,1,0,3868,0,657,4,17,15,132,203,308,81,0,0,145,125,0,0,11,0,0,0,0,0,0,0,0,0,27,0,0,0,46,13,0,10,14,5,2,22,1,9,0,0,68,0,0,3,0,0,22,2,2,69,0,21,0,331,2,27,5,0,0,0,0,0,0,0,14,1,16,38,33,0,0,32,7,63,151,0,6,767,5,0,11,0,0,96,609,22,0,414,0,0,45,13,747,74,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,19,0,83,1,5,56,0,0,0,0,2,0,88,801,17,0,0,0,778,5,621,107,0,32,1,0,51,103,Houston
2017,2017,750,0,2142,2,0,0,3,1798,15,4,27,2,0,28,4,89,21,2,230,1,2319,0,8,35,0,7,125,0,0,0,0,6,0,25,0,0,0,198,101,6,260,129,47,87,103,7,3,7,0,14,1,89,2,6,107,48,30,5,1,6,2,11,0,25,0,1,7,0,2705,285,0,51,1,0,152,12,12,0,2,0,22,31,326,1,0,1,7464,1,0,636,0,72,6,12,29,236,120,567,17,0,0,106,75,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,35,10,0,12,5,2,1,17,0,1,0,0,43,0,0,2,0,0,15,1,3,83,0,35,0,63,4,20,2,0,0,0,0,0,0,0,18,1,13,18,12,0,0,54,0,98,21,0,15,303,4,0,7,0,0,76,290,125,0,71,0,0,68,7,381,11,0,0,2,0,2,0,0,0,0,0,0,0,0,5,0,54,1,84,8,6,53,0,0,0,0,2,0,76,143,30,0,0,0,5000,0,1764,25,0,3,0,0,229,46,Houston
2018,2018,37,0,2500,0,0,0,2,88,14,21,19,0,0,3,12,14,2,30,4,0,250,48,21,18,0,19,7,0,0,0,0,7,0,21,0,0,0,158,139,3,225,119,83,109,74,5,3,2,0,10,0,155,30,16,145,131,35,10,0,4,4,9,0,23,0,0,3,1,0,7,0,28,10,0,58,14,21,0,18,1,9,126,280,25,16,2,13733,0,0,914,0,265,6,10,27,154,120,434,27,0,0,65,71,0,0,7,3,0,0,0,0,0,0,0,0,16,0,0,0,30,9,0,16,1,5,4,11,0,0,0,0,45,0,0,0,0,0,19,1,13,75,0,33,0,133,0,38,3,0,0,1,0,1,0,0,17,0,8,11,26,0,0,32,0,90,44,0,17,77,4,0,2,0,0,90,3318,25,0,75,0,0,38,1,743,28,0,0,2,0,18,0,0,0,0,0,0,0,0,24,0,43,1,59,17,4,29,0,0,0,0,2,0,76,2337,8,0,0,0,1515,9,48,2,0,3,0,0,180,41,Houston
2019,2019,50,0,2701,0,0,0,0,632,38,29,31,14,0,87,49,246,392,14,58,0,2105,521,127,84,0,34,2313,0,0,0,0,3,0,37,10,0,0,304,232,1,291,249,78,76,58,10,4,0,0,6,1,154,0,14,94,76,35,11,1,6,2,25,0,40,0,6,6,0,3315,486,7,286,11,0,80,20,23,0,11,12,38,1432,448,518,1000,1,19989,0,0,1182,0,511,8,10,52,273,350,286,18,0,0,245,71,0,1,9,1,1,0,0,0,0,0,0,0,26,0,0,0,49,15,0,20,2,2,6,22,0,1,0,0,68,0,0,1,1,0,12,0,16,123,0,31,0,9,0,57,0,0,0,0,0,1,0,0,23,4,14,18,31,0,0,45,5,141,40,0,39,67,20,0,5,0,0,113,581,70,0,56,0,0,97,9,899,74,0,0,0,0,15,0,0,0,2,0,0,0,2,0,0,43,2,164,6,5,37,0,0,0,0,16,0,100,5446,19,0,0,0,1489,1,157,15,0,3,0,0,45,67,Houston
